"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1S206BC00200" "R328639" "2310" "007.42" 88140 705810 0 793950 566630 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:7, 8 3 " "552 S 1ST AVE. HILLSBORO OR, 97123" 0.34 9317.37 9733.55
1 "1S206BC00400" "R328648" "2210" "007.42" 51300 310040 0 361340 245780 " Lot:  " "610 S 1ST AVE. HILLSBORO OR, 97123" 0.17 4041.6 4221.99
2 "1S206BC00500" "R328657" "2210" "007.42" 183750 45110 0 228860 67570 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:4 4 " "624 S 1ST AVE. HILLSBORO OR, 97123" 0.11 1111.22 1160.72
3 "1S206BC00600" "R328666" "2210" "007.42" 165380 40700 0 206080 103190 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:3 4 " "636 S 1ST AVE. HILLSBORO OR, 97123" 0.1 1696.89 1772.6
4 "1S206BC00690" "R328675" "2210" "007.42" 165380 34260 0 199640 113680 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:1, 2, 3 4 " "615 SE 2ND AVE. HILLSBORO OR, 97123" 0.2 1869.29 1952.79
5 "1S206BC00700" "R328684" "2210" "007.42" 165380 30050 0 195430 118730 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:1, 2 4 " "633 SE 2ND AVE. HILLSBORO OR, 97123" 0.14 1952.46 2039.57
6 "1S206BC00800" "R328693" "7070" "007.42" 665980 451910 0 1117890 236160 " Lot:  " "159 SE MAPLE ST. HILLSBORO OR, 97123" 0.82 3883.42 4056.73
7 "1S206BC00900" "R328700" "2210" "007.42" 105000 28540 0 133540 133540 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:7, 8 4 " "648 S 1ST AVE. HILLSBORO OR, 97123" 0.25 2151.51 2262.32
8 "1S206BC00901" "R328719" "7070" "007.42" 166500 112980 0 279480 58940 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:8, 9 4 " "159 SE MAPLE ST. HILLSBORO OR, 97123" 0.2 969.3 1012.47
9 "1S206BC01000" "R328728" "9400" "007.42" 96700 342970 0 439670 0 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:7, 8, 9 4 " "145 SE MAPLE ST. HILLSBORO OR, 97123" 0.37 0.0 0.0
10 "1S206BC01100" "R328737" "1010" "007.42" 205220 630290 0 835510 590290 "SIMMONS ADDITION TO THE TOWN OF HILLSBORO Lot:1, 2, 3 7 " "615 SE 3RD AVE. HILLSBORO OR, 97123" 0.6 7896.56 10140.02
