"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
0 "1N231CD07300" "R703910" "1210" "007.01" 158610 132310 0 290920 120450 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:2, 3 1 " "566 E MAIN ST. HILLSBORO OR, 97123" 0.1 1980.76 2069.1
1 "1N231CD07400" "R703929" "1210" "007.01" 163620 65310 0 228930 85730 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:2 1 " "554 E MAIN ST. HILLSBORO OR, 97123" 0.11 1409.8 1472.69
2 "1N231CD07500" "R703938" "1210" "007.01" 163620 63460 0 227080 85730 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:2 1 " "544 E MAIN ST. HILLSBORO OR, 97123" 0.11 1409.8 1472.69
3 "1N231CD07600" "R703947" "2210" "007.42" 167920 8670 0 176590 132400 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:1 1 " "536 E MAIN ST. HILLSBORO OR, 97123" 0.25 2177.22 2274.37
4 "1N231CD07700" "R703956" "2210" "007.42" 66700 205240 0 271940 164010 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:1, 31 1 " "126 SE 5TH AVE. HILLSBORO OR, 97123" 0.09 2697.0 2817.35
5 "1N231CD07700" "R703956" "2210" "007.42" 66700 205240 0 271940 164010 "HILLSBORO Lot:1, 31 1 " "126 SE 5TH AVE. HILLSBORO OR, 97123" 0.09 2697.0 2817.35
6 "1N231CD07800" "R703965" "2210" "007.42" 217950 858690 0 1076640 950260 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:1, 1 1 " "512 E MAIN ST. HILLSBORO OR, 97123" 0.32 15625.63 16323.57
7 "1N231CD07900" "R703974" "2210" "007.42" 82420 16550 0 98970 71020 "HILLSBORO Lot:1 31 " "126 SE 5TH AVE. HILLSBORO OR, 97123" 0.11 1167.94 1219.98
8 "1N231CD08000" "R703983" "2210" "007.42" 82420 109250 0 191670 123640 "HILLSBORO Lot:1 31 " "134 SE 5TH AVE. HILLSBORO OR, 97123" 0.11 2033.08 2123.9
9 "1N231CD08100" "R703992" "2210" "007.42" 333190 1258070 0 1591260 298280 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:2, 5, 6 1 " "152 SE 5TH AVE. HILLSBORO OR, 97123" 0.55 4904.86 5123.85
10 "1N231CD08100" "R703992" "2210" "007.42" 333190 1258070 0 1591260 298280 "HILLSBORO Lot:2, 5, 6 31 " "152 SE 5TH AVE. HILLSBORO OR, 97123" 0.55 4904.86 5123.85
11 "1N231CD08200" "R704009" "2210" "007.42" 160520 207400 0 367920 186550 "HILLSBORO Lot:2 31 " "505 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.12 3067.59 3204.56
12 "1N231CD08300" "R704018" "2210" "007.42" 202690 81780 0 284470 103980 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:6, 2 1 " "519 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.18 1709.94 1786.18
13 "1N231CD08300" "R704018" "2210" "007.42" 202690 81780 0 284470 103980 "HILLSBORO Lot:6, 2 31 " "519 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.18 1709.94 1786.18
14 "1N231CD08400" "R704027" "2210" "007.42" 156480 230940 0 387420 93630 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:6 1 " "535 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.15 1539.7 1608.37
15 "1N231CD08501" "R2065763" "2210" "007.42" 170600 85880 0 256480 120670 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:5 1 " "543 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.11 1984.33 2072.87
16 "1N231CD08600" "R704045" "2210" "007.42" 193700 44940 0 238640 123980 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:5 1 " "555 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.21 2038.68 2129.72
17 "1N231CD08701" "R704054" "9810" "007.42" 221910 277460 0 499370 0 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:4, 5 1 " "183 SE 6TH AVE. HILLSBORO OR, 97123" 0.21 0.0 0.0
18 "1N231CD08800" "R704063" "2210" "007.42" 187660 99730 0 287390 186270 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:4, 5 1 " "151 SE 6TH AVE. HILLSBORO OR, 97123" 0.15 3062.98 3199.74
19 "1N231CD08900" "R704072" "2210" "007.42" 175050 89510 0 264560 146360 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:5, 4 1 " "143 SE 6TH AVE. HILLSBORO OR, 97123" 0.12 2406.7 2514.19
20 "1N231CD09000" "R704081" "1010" "007.01" 204190 201930 0 406120 221160 "MORGANS ADDITION TO THE TOWN OF HILLSBORO OREGON Lot:2, 3 1 " "135 SE 6TH AVE. HILLSBORO OR, 97123" 0.23 3636.66 3799.09
21 "1N231CD09100" "R704090" "9210" "007.42" 695080 574310 0 1269390 0 "WEHRUNGS ADDITION Lot:3, 2, 4 30 " "215 SE 6TH AVE. HILLSBORO OR, 97123" 0.94 0.0 0.0
22 "1N231CD09100" "R704090" "9210" "007.42" 695080 574310 0 1269390 0 "WEHRUNGS ADDITION Lot:3, 2, 4 30 " "215 SE 6TH AVE. HILLSBORO OR, 97123" 0.94 0.0 0.0
23 "1N231CD09300" "R704116" "2210" "007.42" 176670 26750 0 203420 96190 "WEHRUNGS ADDITION, BLOCK 30 Lot:2  " "526 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.17 1581.72 1652.35
24 "1N231CD09400" "R704125" "2210" "007.42" 235670 105480 0 341150 134800 "WEHRUNGS ADDITION, BLOCK 30 Lot:1  " "508 SE WASHINGTON ST. HILLSBORO OR, 97123" 0.2 2216.66 2315.6
25 "1N231CD09500" "R704134" "2210" "007.42" 158080 111860 0 269940 109820 "WEHRUNGS ADDITION, BLOCK 30 Lot:1  " "222 SE 5TH AVE. HILLSBORO OR, 97123" 0.14 1805.95 1886.48
26 "1N231CD09600" "R704143" "2210" "007.42" 168890 107450 0 276340 237930 "WEHRUNGS ADDITION, BLOCK 30 Lot:1, 2  " "234 SE 5TH AVE. HILLSBORO OR, 97123" 0.23 3912.37 4087.16
