"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
21 "1N234AB81362" "R2094132" "1020" "001.12" 0 223820 0 223820 151120 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:136, BLDG 10  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2484.96 2595.95
22 "1N234AB81372" "R2094133" "1020" "001.12" 0 194850 0 194850 129900 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:137 10 " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2136.08 2231.45
23 "1N234AB81382" "R2094134" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:138 10 " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2486.48 2597.51
24 "1N234AB81392" "R2094135" "1020" "001.12" 0 287190 0 287190 174140 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:139, BLDG 10  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 2863.5 2991.39
25 "1N234AB81402" "R2094136" "1020" "001.12" 0 309390 0 309390 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 5 Lot:140  " "1180 NE 63RD WAY. HILLSBORO OR, 97124" "" 3344.82 3494.18
26 "1N234AB81411" "R2095380" "1020" "001.12" 0 318650 0 318650 194050 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:141 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3190.88 3333.38
27 "1N234AB81421" "R2096075" "1020" "001.12" 0 204410 0 204410 133700 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:142 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2198.55 2296.69
28 "1N234AB81431" "R2096076" "1020" "001.12" 0 327380 0 327380 203070 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:143 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3339.22 3488.33
29 "1N234AB81442" "R2096077" "1020" "001.12" 0 337180 0 337180 211180 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:144, BLDG 18  " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3472.54 3627.67
30 "1N234AB81452" "R2096078" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:145 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2727.31 2849.14
31 "1N234AB81462" "R2096079" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:146 18 " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2486.48 2597.51
32 "1N234AB81472" "R2096080" "1020" "001.12" 0 192610 0 192610 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:147  " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2110.13 2204.28
33 "1N234AB81482" "R2096081" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:148  " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2486.48 2597.51
34 "1N234AB81492" "R2096082" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:149  " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 2727.31 2849.14
35 "1N234AB81502" "R2096083" "1020" "001.12" 0 315230 0 315230 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:150, BLDG 18  " "1111 NE 64TH LN. HILLSBORO OR, 97124" "" 3344.82 3494.18
36 "1N234AB81511" "R2096084" "1020" "001.12" 0 327380 0 327380 206520 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:151 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 3395.98 3547.59
37 "1N234AB81521" "R2096085" "1020" "001.12" 0 204410 0 204410 131640 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:152  " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 2164.68 2261.31
38 "1N234AB81531" "R2096086" "1020" "001.12" 0 318650 0 318650 191110 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:153 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 3142.6 3282.9
39 "1N234AB81542" "R2096087" "1020" "001.12" 0 309390 0 309390 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:154 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 3344.82 3494.18
40 "1N234AB81552" "R2096088" "1020" "001.12" 0 276380 0 276380 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:155 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 2727.31 2849.14
41 "1N234AB81562" "R2096089" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:156 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 2486.48 2597.51
42 "1N234AB81572" "R2096090" "1020" "001.12" 0 192610 0 192610 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:157, BLDG 20  " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 2110.13 2204.28
43 "1N234AB81582" "R2096091" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:158 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 2486.48 2597.51
44 "1N234AB81592" "R2096092" "1020" "001.12" 0 270200 0 270200 165860 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:159, BLDG 20  " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 2727.31 2849.14
45 "1N234AB81602" "R2096093" "1020" "001.12" 0 330990 0 330990 221840 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 6 Lot:160 20 " "1110 NE 63RD WAY. HILLSBORO OR, 97124" "" 3647.83 3810.77
46 "1N234AB81611" "R2097987" "1020" "001.12" 0 333810 0 333810 203070 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:161 21 " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 3339.22 3488.33
47 "1N234AB81621" "R2098723" "1020" "001.12" 0 210640 0 210640 142020 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:162 (BLDG 21)  " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 2335.38 2439.61
48 "1N234AB81631" "R2098724" "1020" "001.12" 0 355500 0 355500 204790 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:163 (BLDG 21)  " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 3367.53 3517.9
49 "1N234AB81642" "R2098725" "1020" "001.12" 0 338190 0 338190 203410 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:164  " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 3344.82 3494.18
50 "1N234AB81652" "R2098726" "1020" "001.12" 0 291220 0 291220 174140 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:165 21 " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 2863.5 2991.39
51 "1N234AB81662" "R2098727" "1020" "001.12" 0 223820 0 223820 151210 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:166  " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 2486.48 2597.51
52 "1N234AB81672" "R2098728" "1020" "001.12" 0 188820 0 188820 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 7 Lot:167 21 " "1000 NE 63RD WAY. HILLSBORO OR, 97124" "" 2110.13 2204.28
