|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1N231CB07100|R701565|1010|007.42|163730|102240|0|265970|116020|THORNE'S ADDITION TO HILLSBORO Lot:5 2 |135 NE JACKSON ST. HILLSBORO OR, 97124||1907.92|1992.97
1|1N231CB07200|R701574|1010|007.42|180110|298820|0|478930|232340|THORNE'S ADDITION TO HILLSBORO Lot:3, 4 2 |145 NE JACKSON ST. HILLSBORO OR, 97124|0.32|3820.61|3991.13
2|1N231CB07200|R701574|1010|007.42|180110|298820|0|478930|232340|THORNE'S ADDITION TO HILLSBORO Lot:3, 4 2 |145 NE JACKSON ST. HILLSBORO OR, 97124|0.32|3820.61|3991.13
3|1N231CB07300|R701583|1010|007.42|180110|326340|0|506450|254350|THORNE'S ADDITION TO HILLSBORO Lot:2, 3 2 |165 NE JACKSON ST. HILLSBORO OR, 97124|0.19|4182.52|4369.22
4|1N231CB07300|R701583|1010|007.42|180110|326340|0|506450|254350|THORNE'S ADDITION TO HILLSBORO Lot:2, 3 2 |165 NE JACKSON ST. HILLSBORO OR, 97124|0.19|4182.52|4369.22
5|1N231CB07401|R2156440|1010|007.42|180110|186580|0|366690|202370|THORNE'S ADDITION TO HILLSBORO Lot:1 2 |175 NE JACKSON ST. HILLSBORO OR, 97124|0.17|3327.72|3476.29
6|1N231CB07500|R701609|7010|007.42|264000|1220190|0|1484190|679010|THORNE'S ADDITION TO HILLSBORO Lot:13, 14 1 |349 NE 3RD AVE. HILLSBORO OR, 97124||11165.35|11664.06
7|1N231CB07600|R701618|9400|007.42|809360|65770|0|875130|0|THORNE'S ADDITION TO HILLSBORO Lot:4, 5, 6, 7, 8, 9, 10, 11, 12 1 |201 NE JACKSON ST. HILLSBORO OR, 97124||0.0|0.0
8|1N231CB07900|R701645|1010|007.42|190110|157130|0|347240|241980|HILLSBORO Lot:3, 4 2 |261 NE 3RD AVE. HILLSBORO OR, 97124|0.18|3979.1|4156.74
9|1N231CB08000|R701654|1010|007.42|194910|218450|0|413360|256970|HILLSBORO Lot:3, 4 2 |259 NE 3RD AVE. HILLSBORO OR, 97124|0.19|4225.51|4414.23
10|1N231CB08100|R701663|1010|007.42|219170|326690|0|545860|355200|HILLSBORO Lot:3, 4 2 |249 NE 3RD AVE. HILLSBORO OR, 97124||5840.8|6101.63
11|1N231CB08200|R701672|1010|007.42|149490|201760|0|351250|189100|HILLSBORO Lot:3 2 |250 NE JACKSON ST. HILLSBORO OR, 97124||3109.58|3248.37
