|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1S208DA05700|R336185|1010|007.01|160940|127020|0|287960|147080|TIMBERLAKE NO.2 Lot:60  |3210 SE ROOD BRIDGE RD. HILLSBORO OR, 97123|0.24|2418.54|2526.53
1|1S208DA05800|R336194|1010|007.01|160940|200130|0|361070|240100|TIMBERLAKE NO.2 Lot:59  |3196 SE ROOD BRIDGE RD. HILLSBORO OR, 97123|0.23|3948.1|4124.46
2|1S208DA05900|R336201|9400|007.01|98750|0|0|98750|0|TIMBERLAKE NO.2 Lot:B  |   . HILLSBORO OR, 97123|3.95|0.0|0.0
3|1S208DA06000|R336210|1010|007.01|169410|218750|0|388160|238970|TIMBERLAKE NO.2 Lot:52  |3166 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.22|3929.48|4105.02
4|1S208DA06100|R336229|1010|007.01|179270|155920|0|335190|181070|TIMBERLAKE NO.2 Lot:53  |3170 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.19|2977.49|3110.4
5|1S208DA06200|R336238|1010|007.01|188230|139110|0|327340|188020|TIMBERLAKE NO.2 Lot:54  |3174 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.22|3091.79|3229.8
6|1S208DA06300|R336247|1010|007.01|188230|121080|0|309310|178120|TIMBERLAKE NO.2 Lot:55  |3178 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.22|2929.03|3059.76
7|1S208DA06400|R336256|1010|007.01|152380|257070|0|409450|262520|TIMBERLAKE NO.2 Lot:56  |3182 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.16|4316.82|4509.56
8|1S208DA06500|R336265|1010|007.01|152380|221030|0|373410|252060|TIMBERLAKE NO.2 Lot:57  |3186 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.16|4144.76|4329.9
9|1S208DA06600|R336274|1010|007.01|170300|196690|0|366990|238440|TIMBERLAKE NO.2 Lot:58  |3190 SE TIMBERLAKE DR. HILLSBORO OR, 97123|0.17|3920.83|4095.9
10|1S208DA06700|R336283|1010|007.01|179360|171540|0|350900|241670| Lot:  |3184 SE ROOD BRIDGE RD. HILLSBORO OR, 97123|0.31|3974.02|4151.41
11|1S208DA06800|R336292|1010|007.01|179360|117300|0|296660|146180| Lot:  |3168 SE ROOD BRIDGE RD. HILLSBORO OR, 97123|0.31|2403.82|2511.08
12|1S208DA06900|R336309|1010|007.01|171220|146380|0|317600|206420| Lot:  |3046 SE ROOD BRIDGE RD. HILLSBORO OR, 97123|0.26|3394.28|3545.87
13|1S208DA06901|R1249438|1010|007.01|179360|97210|0|276570|120020| Lot:  |3152 SE ROOD BRIDGE RD. HILLSBORO OR, 97123|0.35|1973.63|2061.69
