|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1N230CD19100|R1114430|1010|007.01|210100|197010|0|407110|278830|JACKSON SCHOOL NO.2 (A REPLAT OF HARE-WOOD NO.2) Lot:122  |529 NE GOLDIE DR. HILLSBORO OR, 97124|0.19|4584.93|4789.76
1|1N230CD19200|R1114449|1010|007.01|210100|254060|0|464160|327860|JACKSON SCHOOL NO.2 (A REPLAT OF HARE-WOOD NO.2) Lot:123  |523 NE GOLDIE DR. HILLSBORO OR, 97124|0.19|5391.28|5631.99
2|1N230CD19300|R1114458|1010|007.01|210100|272710|0|482810|363470|JACKSON SCHOOL NO.2 (A REPLAT OF HARE-WOOD NO.2) Lot:124  |517 NE GOLDIE DR. HILLSBORO OR, 97124|0.19|5867.71|6243.7
3|1N230CD19400|R1114467|1010|007.01|210100|310610|0|520710|368930|JACKSON SCHOOL NO.2 (A REPLAT OF HARE-WOOD NO.2) Lot:125  |509 NE GOLDIE DR. HILLSBORO OR, 97124|0.19|6066.56|6337.49
4|1N230CD19500|R1114476|1010|007.01|210100|235240|0|445340|310360|JACKSON SCHOOL NO.2 (A REPLAT OF HARE-WOOD NO.2) Lot:126  |503 NE GOLDIE DR. HILLSBORO OR, 97124|0.19|5103.54|5331.38
5|1N230CD19600|R1114485|0000|007.01|0|0|0|0|0|JACKSON SCHOOL NO.2 (A REPLAT OF HARE-WOOD NO.2) Lot:K  |   . HILLSBORO OR, 97124|1.3|0.0|0.0
6|1N230DA00100|R691683|1010|007.01|180200|153550|0|333750|188760|COUNTRY SQUIRE ESTATES Lot:54  |1177 NE 11TH CT. HILLSBORO OR, 97124||3103.98|3242.52
7|1N230DA00200|R691692|1010|007.01|180200|192240|0|372440|237480|COUNTRY SQUIRE ESTATES Lot:55  |1145 NE 11TH CT. HILLSBORO OR, 97124||3905.09|4079.45
8|1N230DA00300|R691709|1010|007.01|180200|201900|0|382100|215460|COUNTRY SQUIRE ESTATES Lot:56  |1125 NE 11TH CT. HILLSBORO OR, 97124||3542.99|3701.16
9|1N230DA00400|R691718|1010|007.01|180200|172860|0|353060|190380|COUNTRY SQUIRE ESTATES Lot:57  |1067 NE 11TH CT. HILLSBORO OR, 97124||3130.56|3270.35
10|1N230DA00500|R691727|1010|007.01|180200|151760|0|331960|180660|COUNTRY SQUIRE ESTATES Lot:58  |1023 NE 11TH CT. HILLSBORO OR, 97124||2970.7|3103.37
11|1N230DA00600|R691736|1010|007.01|180200|172650|0|352850|175680|COUNTRY SQUIRE ESTATES Lot:59  |1011 NE 11TH CT. HILLSBORO OR, 97124||2888.89|3017.83
12|1N230DA00700|R691745|1010|007.01|180200|146310|0|326510|162540|COUNTRY SQUIRE ESTATES Lot:60  |1991 NE 11TH CT. HILLSBORO OR, 97124||2672.77|2792.12
13|1N230DA00800|R691754|1010|007.01|180200|151230|0|331430|187500|COUNTRY SQUIRE ESTATES Lot:61  |1977 NE 11TH CT. HILLSBORO OR, 97124||3083.16|3220.89
14|1N230DA00900|R691763|1010|007.01|180200|163400|0|343600|150110|COUNTRY SQUIRE ESTATES Lot:62  |1943 NE 11TH CT. HILLSBORO OR, 97124||2468.36|2578.6
15|1N230DA01000|R691772|1010|007.01|180200|177080|0|357280|193670|COUNTRY SQUIRE ESTATES Lot:63  |1053 NE KATHRYN ST. HILLSBORO OR, 97124||3184.61|3326.85
16|1N230DA01100|R691781|1010|007.01|180200|177490|0|357690|174440|COUNTRY SQUIRE ESTATES Lot:64  |1015 NE KATHRYN ST. HILLSBORO OR, 97124||2868.39|2996.53
17|1N230DA01200|R691790|1010|007.01|180200|145630|0|325830|175510|COUNTRY SQUIRE ESTATES Lot:65  |1952 NE 10TH AVE. HILLSBORO OR, 97124||2886.02|3014.91
18|1N230DA01300|R691807|1010|007.01|180200|144390|0|324590|162010|COUNTRY SQUIRE ESTATES Lot:66  |1984 NE 10TH AVE. HILLSBORO OR, 97124||2664.14|2783.0
19|1N230DA01400|R691816|1010|007.01|180200|147290|0|327490|163840|COUNTRY SQUIRE ESTATES Lot:67  |2002 NE 10TH AVE. HILLSBORO OR, 97124||2694.11|2814.47
20|1N230DA01500|R691825|1010|007.01|180200|160270|0|340470|174880|COUNTRY SQUIRE ESTATES Lot:68  |2026 NE 10TH AVE. HILLSBORO OR, 97124||2875.69|3004.1
21|1N230DA01600|R691834|1010|007.01|180200|145690|0|325890|164490|COUNTRY SQUIRE ESTATES Lot:69  |2027 NE 10TH AVE. HILLSBORO OR, 97124||2704.78|2825.61
22|1N230DA01700|R691843|1010|007.01|180200|143600|0|323800|166860|COUNTRY SQUIRE ESTATES Lot:70  |2011 NE 10TH AVE. HILLSBORO OR, 97124||2743.77|2866.34
23|1N230DA01800|R691852|1010|007.01|180200|141260|0|321460|164480|COUNTRY SQUIRE ESTATES Lot:71  |1975 NE 10TH AVE. HILLSBORO OR, 97124||2704.65|2825.43
24|1N230DA01900|R691861|1010|007.01|180200|137210|0|317410|166990|COUNTRY SQUIRE ESTATES Lot:72  |1947 NE 10TH AVE. HILLSBORO OR, 97124||2745.93|2868.55
25|1N230DA02000|R691870|1010|007.01|180200|161680|0|341880|170990|COUNTRY SQUIRE ESTATES Lot:73  |997 NE KATHRYN ST. HILLSBORO OR, 97124||2811.66|2937.27
26|1N230DA02100|R691889|1010|007.01|180200|131110|0|311310|166420|COUNTRY SQUIRE ESTATES Lot:74  |1873 NE 10TH AVE. HILLSBORO OR, 97124||2736.63|2858.76
27|1N230DA02200|R691898|1010|007.01|180200|175480|0|355680|205250|COUNTRY SQUIRE ESTATES Lot:118  |1884 NE 10TH AVE. HILLSBORO OR, 97124||3375.14|3525.78
28|1N230DA02300|R691905|1010|007.01|180200|125180|0|305380|159130|COUNTRY SQUIRE ESTATES Lot:117  |1048 NE KATHRYN ST. HILLSBORO OR, 97124||2616.72|2733.53
29|1N230DA02400|R691914|1010|007.01|180200|134040|0|314240|162750|COUNTRY SQUIRE ESTATES Lot:116  |1076 NE KATHRYN ST. HILLSBORO OR, 97124||2676.18|2795.71
