|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1N236CB91642|R2152448|1020|051.69|0|294130|0|294130|182430|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:D 16 |653 NW ADWICK DR. BEAVERTON OR, 97006||3156.0|3266.53
1|1N236CB91652|R2152449|1020|051.69|0|272860|0|272860|163850|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:E 16 |639 NE ADWICK DR. BEAVERTON OR, 97006||2834.54|2933.84
2|1N236CB91662|R2152450|1020|051.69|0|272860|0|272860|163850|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:F 16 |655 NE ADWICK DR. BEAVERTON OR, 97006||2834.54|2933.84
3|1N236CB91711|R2152451|1020|051.69|0|209670|0|209670|121870|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:A 17 |661 NE ADWICK DR. BEAVERTON OR, 97006||2108.44|2182.18
4|1N236CB91721|R2152452|1020|051.69|0|209670|0|209670|121870|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:B 17 |665 NE ADWICK DR. BEAVERTON OR, 97006||2108.44|2182.18
5|1N236CB91732|R2152453|1020|051.69|0|294130|0|294130|182430|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:C 17 |659 NE ADWICK DR. BEAVERTON OR, 97006||3156.0|3266.53
6|1N236CB91742|R2152454|1020|051.69|0|294130|0|294130|182430|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:D 17 |669 NE ADWICK DR. BEAVERTON OR, 97006||3156.0|3266.53
7|1N236CB91752|R2152455|1020|051.69|0|272860|0|272860|163850|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:E 17 |657 NE ADWICK DR. BEAVERTON OR, 97006||2834.54|2933.84
8|1N236CB91762|R2152456|1020|051.69|0|272860|0|272860|163850|ARBOR CROSSING CONDO AT QUATAMA SUPPLEMENTAL PLAT NO.2: ANNEXATION OF STAGE 3 Lot:F 17 |671 NE ADWICK DR. BEAVERTON OR, 97006||2834.54|2933.84
9|1N236CB91811|R2149678|1020|051.69|0|209010|0|209010|117190|ARBOR CROSSING CONDO AT QUATAMA Lot:18A 18 |731 NE ADWICK DR. HILLSBORO OR, 97006||2027.39|2098.37
10|1N236CB91821|R2149679|1020|051.69|0|209010|0|209010|117190|ARBOR CROSSING CONDO AT QUATAMA Lot:18B 18 |733 NE ADWICK DR. HILLSBORO OR, 97006||2027.39|2098.37
11|1N236CB91832|R2149680|1020|051.69|0|298980|0|298980|182280|ARBOR CROSSING CONDO AT QUATAMA Lot:18C 18 |727 NE ADWICK DR. HILLSBORO OR, 97006||3153.53|3263.85
12|1N236CB91842|R2149681|1020|051.69|0|298980|0|298980|182280|ARBOR CROSSING CONDO AT QUATAMA Lot:18D 18 |735 NE ADWICK DR. HILLSBORO OR, 97006||3153.53|3263.85
13|1N236CB91852|R2149682|1020|051.69|0|277590|0|277590|161010|ARBOR CROSSING CONDO AT QUATAMA Lot:18E 18 |725 NE ADWICK DR. HILLSBORO OR, 97006||2785.54|2883.02
14|1N236CB91862|R2149683|1020|051.69|0|277590|0|277590|161010|ARBOR CROSSING CONDO AT QUATAMA Lot:18F 18 |741 NE ADWICK DR. HILLSBORO OR, 97006||2785.54|2883.02
15|1N236CB91911|R2149684|1020|051.69|0|209010|0|209010|117190|ARBOR CROSSING CONDO AT QUATAMA Lot:19A 19 |763 NE ADWICK DR. HILLSBORO OR, 97006||2027.39|2098.37
16|1N236CB91921|R2149685|1020|051.69|0|209010|0|209010|117190|ARBOR CROSSING CONDO AT QUATAMA Lot:19B 19 |765 NE ADWICK DR. HILLSBORO OR, 97006||2027.39|2098.37
