|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1N230DD08000|R687457|1010|007.01|171190|145770|0|316960|168390|MERRILEE PARK Lot:7  |1068 NE SUNRISE LN. HILLSBORO OR, 97124||2768.98|2892.61
1|1N230DD08100|R687466|1010|007.01|171190|141280|0|312470|178040|MERRILEE PARK Lot:8  |1082 NE SUNRISE LN. HILLSBORO OR, 97124||2927.68|3058.37
2|1N230DD08200|R687475|1010|007.01|181970|158720|0|340690|179450|MERRILEE PARK NO.2 Lot:9  |1007 NE LILAC CT. HILLSBORO OR, 97124||2950.89|3082.58
3|1N230DD08300|R687484|1010|007.01|181970|149770|0|331740|170850|MERRILEE PARK NO.2 Lot:10  |1035 NE LILAC CT. HILLSBORO OR, 97124||2809.44|2934.85
4|1N230DD08400|R687493|1010|007.01|181970|144100|0|326070|165980|MERRILEE PARK NO.2 Lot:11  |1057 NE LILAC CT. HILLSBORO OR, 97124||2729.35|2851.2
5|1N230DD08500|R687509|1010|007.01|181970|136470|0|318440|142900|MERRILEE PARK NO.2 Lot:12  |1086 NE LILAC CT. HILLSBORO OR, 97124||2349.79|2454.73
6|1N230DD08600|R687518|1010|007.01|181970|141470|0|323440|169650|MERRILEE PARK NO.2 Lot:13  |1064 NE LILAC CT. HILLSBORO OR, 97124||2789.63|2914.25
7|1N230DD08700|R687527|1010|007.01|180200|144410|0|324610|169610|MERRILEE PARK NO.2 Lot:14  |1028 NE LILAC CT. HILLSBORO OR, 97124||2788.97|2913.57
8|1N230DD08800|R687536|1010|007.01|181970|183620|0|365590|218830|MERRILEE PARK NO.2 Lot:15  |1010 NE LILAC CT. HILLSBORO OR, 97124||3598.37|3759.06
9|1N230DD08900|R687545|1010|007.01|181970|158160|0|340130|171210|MERRILEE PARK NO.2 Lot:16  |1406 NE 10TH AVE. HILLSBORO OR, 97124||2815.43|2941.04
10|1N230DD09000|R687554|1010|007.01|181970|143670|0|325640|168200|MERRILEE PARK NO.2 Lot:17  |1019 NE HOOD ST. HILLSBORO OR, 97124||2765.93|2889.33
11|1N230DD09100|R687563|1010|007.01|181970|147530|0|329500|164550|MERRILEE PARK NO.2 Lot:18  |1035 NE HOOD ST. HILLSBORO OR, 97124||2705.83|2826.63
12|1N230DD09200|R687572|1010|007.01|181970|149160|0|331130|163390|MERRILEE PARK NO.2 Lot:19  |1063 NE HOOD ST. HILLSBORO OR, 97124||2686.84|2806.72
13|1N230DD09300|R687581|1010|007.01|181970|147960|0|329930|169390|MERRILEE PARK NO.2 Lot:20  |1072 NE HOOD ST. HILLSBORO OR, 97124||2785.42|2909.81
14|1N230DD09400|R687590|1010|007.01|181970|176310|0|358280|230240|MERRILEE PARK NO.2 Lot:21  |1048 NE HOOD ST. HILLSBORO OR, 97124||3786.05|3955.06
15|1N230DD09500|R687607|1010|007.01|181970|143620|0|325590|168110|MERRILEE PARK NO.2 Lot:22  |1026 NE HOOD ST. HILLSBORO OR, 97124||2764.41|2887.81
16|1N230DD09600|R687616|1010|007.01|181970|158410|0|340380|182760|MERRILEE PARK NO.2 Lot:23  |1382 NE 10TH AVE. HILLSBORO OR, 97124||3005.26|3139.47
17|1N230DD09700|R687625|1010|007.01|181970|230110|0|412080|251330|MERRILEE PARK NO.2 Lot:24  |1391 NE 10TH AVE. HILLSBORO OR, 97124||4132.76|4317.37
18|1N230DD09800|R687634|1010|007.01|181970|152950|0|334920|173770|MERRILEE PARK NO.2 Lot:25  |972 NE HOOD ST. HILLSBORO OR, 97124||2857.4|2985.01
19|1N230DD09900|R687643|1010|007.01|181970|154730|0|336700|186890|MERRILEE PARK NO.2 Lot:26  |926 NE HOOD ST. HILLSBORO OR, 97124||3073.15|3210.4
20|1N230DD10000|R687652|1010|007.01|181970|141520|0|323490|164550|MERRILEE PARK NO.2 Lot:27  |912 NE HOOD ST. HILLSBORO OR, 97124||2705.83|2826.63
21|1N230DD10100|R687661|1010|007.01|181970|140390|0|322360|169390|MERRILEE PARK NO.2 Lot:28  |909 NE HOOD ST. HILLSBORO OR, 97124||2785.42|2909.81
22|1N230DD10200|R687670|1010|007.01|181970|171380|0|353350|185880|MERRILEE PARK NO.2 Lot:29  |931 NE HOOD ST. HILLSBORO OR, 97124||3056.58|3193.02
23|1N230DD10300|R687689|1010|007.01|181970|155340|0|337310|172520|MERRILEE PARK NO.2 Lot:30  |965 NE HOOD ST. HILLSBORO OR, 97124||2836.89|2963.55
24|1N230DD10400|R687698|1010|007.01|180200|173730|0|353930|198260|MERRILEE PARK NO.2 Lot:31  |1413 NE 10TH AVE. HILLSBORO OR, 97124||3260.14|3405.71
25|1N230DD10500|R687705|1010|007.01|181970|149010|0|330980|172860|MERRILEE PARK NO.2 Lot:32  |976 NE LILAC CT. HILLSBORO OR, 97124||2842.48|2969.37
26|1N230DD10600|R687714|1010|007.01|181970|185240|0|367210|219910|MERRILEE PARK NO.2 Lot:33  |958 NE LILAC CT. HILLSBORO OR, 97124||3616.17|3777.63
27|1N230DD10700|R687723|1010|007.01|181970|223070|0|405040|241400|MERRILEE PARK NO.2 Lot:34  |932 NE LILAC CT. HILLSBORO OR, 97124||3969.45|4146.77
28|1N230DD10800|R687732|1010|007.01|181970|162240|0|344210|183000|MERRILEE PARK NO.2 Lot:35  |924 NE LILAC CT. HILLSBORO OR, 97124||3009.15|3143.58
29|1N230DD10900|R687741|1010|007.01|181970|135200|0|317170|169970|MERRILEE PARK NO.2 Lot:36  |943 NE LILAC CT. HILLSBORO OR, 97124||2794.87|2919.74
30|1N230DD11000|R687750|1010|007.01|181970|147860|0|329830|161640|MERRILEE PARK NO.2 Lot:37  |969 NE LILAC CT. HILLSBORO OR, 97124||2658.06|2776.65
31|1N230DD11100|R687769|1010|007.01|181970|178720|0|360690|206610|MERRILEE PARK NO.2 Lot:38  |981 NE LILAC CT. HILLSBORO OR, 97124||3397.5|3549.16
32|1N230DD11200|R687279|1010|007.01|284590|128990|0|413580|148730|SUNRISE ACRES Lot:4  |1116 NE SUNRISE LN. HILLSBORO OR, 97124|0.54|2445.66|2554.91
33|1N230DD11300|R687288|1010|007.01|258520|230670|0|489190|220160|SUNRISE ACRES Lot:4  |1150 NE SUNRISE LN. HILLSBORO OR, 97124|0.46|3620.2|3781.92
34|1N230DD11400|R687251|1010|007.01|188310|118170|0|306480|163570|SUNRISE ACRES Lot:3  |1170 NE SUNRISE LN. HILLSBORO OR, 97124|0.35|2689.71|2809.81
35|1N230DD11500|R687260|1010|007.01|188310|157340|0|345650|161820|SUNRISE ACRES Lot:3  |1184 NE SUNRISE LN. HILLSBORO OR, 97124|0.31|2660.92|2779.71
36|1N230DD11600|R687297|1010|007.01|198220|160340|0|358560|179740|SUNRISE ACRES Lot:3  |1481 NE 12TH AVE. HILLSBORO OR, 97124|0.34|2955.63|3087.56
37|1N230DD11700|R687304|1010|007.01|189210|119750|0|308960|136650|SUNRISE ACRES Lot:11  |1461 NE 12TH AVE. HILLSBORO OR, 97124|0.27|2247.01|2347.38
38|1N230DD11800|R954177|1010|007.01|179760|197780|0|377540|202200|SUNRISE ACRES Lot:11  |1459 NE 12TH AVE. HILLSBORO OR, 97124|0.27|3325.02|3473.38
39|1N230DD11900|R954168|1010|007.01|179760|263970|0|443730|238430|SUNRISE ACRES Lot:11  |1457 NE 12TH AVE. HILLSBORO OR, 97124|0.27|3485.91|4095.76
40|1N230DD12200|R687331|1010|007.01|198220|121360|0|319580|152900|SUNRISE ACRES Lot:14  |1429 NE 12TH AVE. HILLSBORO OR, 97124|0.43|2514.24|2626.52
41|1N230DD12300|R687368|1000|007.01|137980|0|0|137980|29200|SUNRISE ACRES Lot:14  |1137 NE KENNEDY LN. HILLSBORO OR, 97124|0.26|480.15|501.6
42|1N230DD12400|R687340|1010|007.01|180200|156420|0|336620|162650|SUNRISE ACRES Lot:14  |1341 NE 12TH AVE. HILLSBORO OR, 97124|0.21|2674.63|2794.01
43|1N230DD12500|R687386|1010|007.01|180200|150160|0|330360|171200|SUNRISE ACRES Lot:14  |1173 NE KENNEDY LN. HILLSBORO OR, 97124|0.21|2815.26|2940.9
44|1N230DD12600|R687322|1010|007.01|189210|141950|0|331160|151310|SUNRISE ACRES Lot:14  |1137 NE KENNEDY LN. HILLSBORO OR, 97124|0.24|2488.18|2599.21
45|1N230DD12700|R687377|1010|007.01|198220|104830|0|303050|147440|SUNRISE ACRES Lot:14  |1105 NE KENNEDY LN. HILLSBORO OR, 97124|0.34|2424.5|2532.72
46|1N230DD12800|R1166525|9500|007.01|2550|0|0|2550|0|NORTH HILLSBORO ACRES Lot:4, 3 2 |   . HILLSBORO OR, 97124|0.03|0.0|0.0
47|1N230DD12800|R1166525|9500|007.01|2550|0|0|2550|0|NORTH HILLSBORO ACRES Lot:4, 3 2 |   . HILLSBORO OR, 97124|0.03|0.0|0.0
48|1N230DD12900|R2089964|1010|007.01|180200|127420|0|307620|183870|1999-080 PARTITION PLAT Lot:1  |1443 NE 12TH AVE. HILLSBORO OR, 97124|0.22|3023.53|3158.53
49|1N230DD13000|R2089965|1010|007.01|179760|234940|0|414700|234210|1999-080 PARTITION PLAT Lot:2  |1437 NE 12TH AVE. HILLSBORO OR, 97124|0.25|3851.22|4023.26
50|1N230DD13100|R2089966|1010|007.01|171190|259050|0|430240|270660|1999-080 PARTITION PLAT Lot:3  |1433 NE 12TH AVE. HILLSBORO OR, 97124|0.32|4450.64|4649.39
51|1N231AA00101|R693896|1010|007.01|216240|247320|0|463560|272000| Lot:  |1275 NE 12TH AVE. HILLSBORO OR, 97124|0.44|4472.63|4672.42
52|1N231AA00102|R693903|9210|007.01|952920|896750|0|1849670|0| Lot:  |1230 NE 10TH AVE. HILLSBORO OR, 97124|3.13|0.0|0.0
53|1N231AA00103|R693912|1010|007.01|189210|108620|0|297830|146630| Lot:  |1140 NE KENNEDY LN. HILLSBORO OR, 97124|0.23|2411.11|2518.81
54|1N231AA00104|R693921|1010|007.01|180200|116610|0|296810|116160| Lot:  |1110 NE KENNEDY LN. HILLSBORO OR, 97124|0.2|1910.12|1995.41
55|1N231AA00191|R693930|9210|007.01|1242150|4999630|0|6241780|0| Lot:  |1230 NE 10TH AVE. HILLSBORO OR, 97124|4.08|0.0|0.0
