|tlid|prop_account_id|prop_class|code_area|mrkt_land_val|mrkt_bld_val|mrkt_special_val|mrkt_tot_val|assessed_val|legal_desc|address|lot_size|taxes_2018|taxes_2019
0|1N230CB03000|R1018231|1010|007.01|227420|208240|0|435660|275660|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:64  |1810 NE ESTATE DR. HILLSBORO OR, 97124|0.17|4532.93|4735.27
1|1N230CB03100|R1018240|1010|007.01|227420|200360|0|427780|248350|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:65  |1822 NE ESTATE DR. HILLSBORO OR, 97124|0.17|4083.78|4266.15
2|1N230CB03200|R1018259|1010|007.01|227420|183060|0|410480|250820|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:66  |1834 NE ESTATE DR. HILLSBORO OR, 97124|0.19|4124.42|4308.58
3|1N230CB03300|R1018268|1010|007.01|227420|194740|0|422160|274310|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:67  |1846 NE ESTATE DR. HILLSBORO OR, 97124|0.19|4510.76|4712.09
4|1N230CB03400|R1018277|1010|007.01|227420|184970|0|412390|260360|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:68  |1858 NE ESTATE DR. HILLSBORO OR, 97124|0.18|4281.25|4472.47
5|1N230CB03500|R1018286|1010|007.01|227420|172170|0|399590|248440|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:69  |1862 NE ESTATE DR. HILLSBORO OR, 97124|0.19|4085.3|4267.71
6|1N230CB03600|R1018295|1010|007.01|227420|221490|0|448910|292400|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:70  |1874 NE ESTATE DR. HILLSBORO OR, 97124|0.2|4808.14|5022.84
7|1N230CB03700|R1018302|1010|007.01|227420|179290|0|406710|251130|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:71  |1886 NE ESTATE DR. HILLSBORO OR, 97124|0.2|4129.5|4313.9
8|1N230CB03800|R1018311|1010|007.01|227420|176120|0|403540|251450|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:72  |1898 NE ESTATE DR. HILLSBORO OR, 97124|0.2|4134.74|4319.4
9|1N230CB03900|R1018320|1010|007.01|227420|186230|0|413650|259360|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:73  |1900 NE ESTATE DR. HILLSBORO OR, 97124|0.23|4264.8|4455.28
10|1N230CB04000|R1018339|0000|007.01|0|0|0|0|0|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:E  |   . HILLSBORO OR, 97124|1.42|0.0|0.0
11|1N230CB04100|R1018348|1010|007.01|229590|176640|0|406230|251020|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:74  |416 NE TINA CT. HILLSBORO OR, 97124|0.17|4127.65|4312.02
12|1N230CB04200|R1018357|1010|007.01|229590|234290|0|463880|272730|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:75  |444 NE TINA CT. HILLSBORO OR, 97124|0.18|4333.41|4684.97
13|1N230CB04300|R1018366|1010|007.01|229590|201200|0|430790|264790|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:76  |460 NE TINA CT. HILLSBORO OR, 97124|0.18|4354.1|4548.57
14|1N230CB04400|R1018375|1010|007.01|229590|254340|0|483930|338260|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:77  |480 NE TINA CT. HILLSBORO OR, 97124|0.18|5562.18|5810.64
15|1N230CB04500|R1018384|1010|007.01|229590|236980|0|466570|303630|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:78  |493 NE TINA CT. HILLSBORO OR, 97124|0.15|4992.79|5215.74
16|1N230CB04600|R1018393|1010|007.01|218660|234410|0|453070|291940|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:79  |471 NE TINA CT. HILLSBORO OR, 97124|0.19|4800.53|5014.96
17|1N230CB04700|R1018400|1010|007.01|218660|214290|0|432950|287390|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:80  |457 NE TINA CT. HILLSBORO OR, 97124|0.19|4725.67|4936.81
18|1N230CB04800|R1018419|1010|007.01|218660|196700|0|415360|261630|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:81  |435 NE TINA CT. HILLSBORO OR, 97124|0.21|4302.1|4494.28
19|1N230CB04900|R1018428|1010|007.01|218660|208000|0|426660|286760|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:82  |1934 NE ESTATE DR. HILLSBORO OR, 97124|0.18|4715.34|4925.98
20|1N230CB05000|R1018437|1010|007.01|218660|241470|0|460130|299050|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:83  |1946 NE ESTATE DR. HILLSBORO OR, 97124|0.17|4917.37|5137.09
21|1N230CB05100|R1018446|1010|007.01|218660|200050|0|418710|274700|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:84  |1959 NE ESTATE DR. HILLSBORO OR, 97124|0.17|4517.01|4718.78
22|1N230CB05200|R1018455|1010|007.01|218660|198490|0|417150|259790|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:85  |1947 NE ESTATE DR. HILLSBORO OR, 97124|0.16|4271.95|4462.66
23|1N230CB05300|R1018464|1010|007.01|218660|239730|0|458390|315790|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:86  |375 NE MERLE CT. HILLSBORO OR, 97124|0.25|5192.8|5424.65
24|1N230CB05400|R1018473|1010|007.01|218660|258350|0|477010|314640|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:87  |357 NE MERLE CT. HILLSBORO OR, 97124|0.24|5173.83|5404.87
25|1N230CB05500|R1018482|1010|007.01|236150|261420|0|497570|325550|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:88  |333 NE MERLE CT. HILLSBORO OR, 97124|0.2|5353.16|5592.32
26|1N230CB05600|R1018491|1010|007.01|236150|216400|0|452550|304660|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:89  |307 NE MERLE CT. HILLSBORO OR, 97124|0.19|5009.72|5233.45
27|1N230CB05700|R1018507|1010|007.01|236150|199570|0|435720|267050|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:90  |302 NE MERLE CT. HILLSBORO OR, 97124|0.17|4391.33|4587.4
28|1N230CB05800|R1018516|1010|007.01|236150|362360|0|598510|419370|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:91  |324 NE MERLE CT. HILLSBORO OR, 97124|0.2|6895.97|7203.94
29|1N230CB05900|R1018525|1010|007.01|229590|273820|0|503410|360470|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:92  |346 NE MERLE CT. HILLSBORO OR, 97124|0.19|5927.5|6192.16
30|1N230CB06000|R1018534|1010|007.01|229590|273720|0|503310|371430|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:93  |368 NE MERLE CT. HILLSBORO OR, 97124|0.2|6107.72|6380.45
31|1N230CB06100|R1018543|1010|007.01|229590|333690|0|563280|406520|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:94  |380 NE MERLE CT. HILLSBORO OR, 97124|0.24|6684.59|6983.19
32|1N230CB06200|R1018552|1010|007.01|218660|201340|0|420000|278980|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:95  |392 NE MERLE CT. HILLSBORO OR, 97124|0.17|4587.49|4792.33
33|1N230CB06300|R1018561|1010|007.01|229590|201820|0|431410|242970|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:96  |1923 NE ESTATE DR. HILLSBORO OR, 97124|0.16|3995.38|4173.72
34|1N230CB06400|R1018570|1010|007.01|229590|240640|0|470230|303700|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:97  |395 NE GWEN CT. HILLSBORO OR, 97124|0.19|4993.95|5216.97
35|1N230CB06500|R1018589|1010|007.01|229590|269500|0|499090|311780|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:98  |385 NE GWEN CT. HILLSBORO OR, 97124|0.18|5126.75|5355.75
36|1N230CB06600|R1018598|1010|007.01|229590|218020|0|447610|270750|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:99  |371 NE GWEN CT. HILLSBORO OR, 97124|0.18|4452.17|4650.95
37|1N230CB06700|R1018605|1010|007.01|229590|266820|0|496410|296400|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:100  |359 NE GWEN CT. HILLSBORO OR, 97124|0.18|4873.86|5091.56
38|1N230CB06800|R1018614|1010|007.01|229590|196670|0|426260|268830|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:101  |347 NE GWEN CT. HILLSBORO OR, 97124|0.19|4420.47|4617.97
39|1N230CB06900|R1018623|1010|007.01|229590|252970|0|482560|315390|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:102  |335 NE GWEN CT. HILLSBORO OR, 97124|0.19|5186.18|5417.77
40|1N230CB07000|R1018632|1010|007.01|233920|252440|0|486360|318470|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:103  |323 NE GWEN CT. HILLSBORO OR, 97124|0.19|5236.8|5470.66
41|1N230CB07100|R1018641|1010|007.01|233920|208120|0|442040|309010|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:104  |320 NE GWEN CT. HILLSBORO OR, 97124|0.18|5081.17|5308.2
42|1N230CB07200|R1018650|1010|007.01|227420|255440|0|482860|346090|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:105  |332 NE GWEN CT. HILLSBORO OR, 97124|0.21|5690.93|5945.14
43|1N230CB07300|R1018669|1010|007.01|227420|219220|0|446640|310700|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:106  |344 NE GWEN CT. HILLSBORO OR, 97124|0.19|5109.13|5337.21
44|1N230CB07400|R1018678|1010|007.01|227420|188350|0|415770|263380|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:107  |356 NE GWEN CT. HILLSBORO OR, 97124|0.19|4330.87|4524.33
45|1N230CB07500|R1018687|1010|007.01|227420|225950|0|453370|312380|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:108  |368 NE GWEN CT. HILLSBORO OR, 97124|0.19|5136.74|5366.05
46|1N230CB07600|R1018696|1010|007.01|227420|199310|0|426730|257230|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:109  |370 NE GWEN CT. HILLSBORO OR, 97124|0.19|4229.77|4418.7
47|1N230CB07700|R1018703|1010|007.01|227420|187720|0|415140|262320|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:110  |384 NE GWEN CT. HILLSBORO OR, 97124|0.21|4313.45|4506.13
48|1N230CB07800|R1018712|1010|007.01|227420|170620|0|398040|242740|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:111  |396 NE GWEN CT. HILLSBORO OR, 97124|0.19|3991.45|4169.77
49|1N230CB07900|R1018721|0000|007.01|73750|0|0|73750|0|JACKSON SCHOOL (A REPLAT OF HARE-WOOD) Lot:F  |   . HILLSBORO OR, 97124|2.95|0.0|0.0
50|1N230CB08300|R1141213|7010|007.01|3800000|33454390|0|37254390|16709810|JACKSON SCHOOL NO.3 (A REPLAT OF HARE-WOOD NO.3) Lot:112, 113, 114, 169  |300 NE AUTUMN ROSE WAY. HILLSBORO OR, 97124|9.47|274766.12|287041.12
51|1N230CB08400|R1141222|0000|007.01|0|0|0|0|0|JACKSON SCHOOL NO.3 (A REPLAT OF HARE-WOOD NO.3) Lot:N  |   . HILLSBORO OR, 97124|0.11|0.0|0.0
52|1N230CB08900|R2023101|1010|007.01|218660|225780|0|444440|281580|JACKSON SCHOOL NO.8 Lot:352  |1958 NE ESTATE DR. HILLSBORO OR, 97124|0.17|4630.14|4836.98
53|1N230CB09000|R2025841|1010|007.01|218660|196840|0|415500|263230|JACKSON SCHOOL NO.9 Lot:361  |2046 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.17|4328.5|4521.78
54|1N230CB09100|R2025842|1010|007.01|218660|206540|0|425200|246310|JACKSON SCHOOL NO.9 Lot:362  |2052 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.17|4050.24|4231.12
55|1N230CB09200|R2025843|1010|007.01|218660|235660|0|454320|291940|JACKSON SCHOOL NO.9 Lot:363  |2074 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.32|4800.53|5014.96
56|1N230CB09300|R2025844|1010|007.01|229590|299900|0|529490|340710|JACKSON SCHOOL NO.9 Lot:364  |2088 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.24|5602.5|5852.69
57|1N230CB09400|R2025845|1010|007.01|229590|247100|0|476690|300390|JACKSON SCHOOL NO.9 Lot:365  |2075 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.22|4939.6|5160.12
58|1N230CB09500|R2025846|1010|007.01|227420|208580|0|436000|287770|JACKSON SCHOOL NO.9 Lot:366  |2059 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.17|4144.76|4943.31
59|1N230CB09600|R2025847|1010|007.01|229590|238070|0|467660|300350|JACKSON SCHOOL NO.9 Lot:367  |2041 NE JOSEPHINE DR. HILLSBORO OR, 97124|0.18|4938.88|5159.39
60|1N230CB09700|R2025848|1010|007.01|229590|220460|0|450050|286470|JACKSON SCHOOL NO.9 Lot:368  |2278 NE LINDSEY DR. HILLSBORO OR, 97124|0.18|4710.6|4920.99
61|1N230CB09800|R2025849|1010|007.01|218660|303130|0|521790|343300|JACKSON SCHOOL NO.9 Lot:369  |2256 NE LINDSEY DR. HILLSBORO OR, 97124|0.17|5645.17|5897.23
62|1N230CB09900|R2025850|1010|007.01|218660|236970|0|455630|306080|JACKSON SCHOOL NO.9 Lot:370  |2232 NE LINDSEY DR. HILLSBORO OR, 97124|0.17|5033.09|5257.83
63|1N230CB10000|R2025851|1010|007.01|216590|314280|0|530870|378790|JACKSON SCHOOL NO.9 Lot:371  |2210 NE LINDSEY DR. HILLSBORO OR, 97124|0.16|6228.67|6506.86
64|1N230CB10100|R2025852|1010|007.01|218660|298960|0|517620|345580|JACKSON SCHOOL NO.9 Lot:372  |2188 NE LINDSEY DR. HILLSBORO OR, 97124|0.17|5682.6|5936.37
